id,expected_scope_decision,title,source_url,rationale
sig_105025cecae9ce77ce5c,exclude,"New construction of Leverkusen sewage treatment plant transfer station: IC&I (Instrumentation, Control and Electrical) technology",https://ted.europa.eu/en/notice/-/detail/588108-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_1492bd3b37deb7b20342,retain,"Support, administration and maintenance service for computer systems in general service facilities, operating areas and production plants for the years 2027-2029 (Va/Varios).",https://ted.europa.eu/en/notice/-/detail/618217-2026,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_1678167d26ba6188b55a,exclude,"Selection of suppliers and establishment of the rules governing contracts for the supply of computers and tablets carried out by the UZ resulting from this Framework Agreement, in 2 lots: Lot 1: personal computers with macOS operating system and Lot 2: tablets with IOS operating system.",https://ted.europa.eu/en/notice/-/detail/632673-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_1861d4ebc1be1716f6d2,exclude,Servicio de limpieza de edificios y dependencias de todas las instalaciones de la Empresa Municipal de Transportes de Madrid (3 Lotes),https://ted.europa.eu/en/notice/-/detail/606430-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_188e0976d8f1b026399f,exclude,"Space Technology Research, Development, Demonstration, and Infusion (SpaceTech REDDI-2026)",https://www.grants.gov/search-results-detail/360954,"The notification system and account management are existing tender-alert tools, not software being procured."
sig_18a604afae61e1fdba53,retain,Servicio de mantenimineto de la infraestructura de escritorios virtuales Horizon de la Gerencia de Informática de la Seguridad Social,https://contrataciondelestado.es/wps/poc?idEvl=%2BS6WpVnksBJVkTabT%2FRM8A%3D%3D&uri=deeplink%3Adetalle_licitacion,Native Spanish software/platform/interface or mixed software category; closed status remains separate from technical relevance.
sig_18bda200f9df4ee08031,exclude,"High Voltage Equipment, Supply, Delivery, Positioning and Inspection Phase 2",https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG562140,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_18c5c2e50bd6c07a5f12,exclude,"Contratación de obras comprendidas en el ""Proyecto ejecutivo de edificio para aula informática y biblioteca municipal en Palavea""",https://contrataciondelestado.es/wps/poc?idEvl=Yh7714dKIEsl5NjlNci%2BtA%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_1f024fd589d16849dd6a,exclude,"Suministro de material de oficina, papelería y consumibles de informática para el Ayuntamiento de Chiclana de la Frontera.",https://contrataciondelestado.es/wps/poc?idEvl=GDbKxmK2TinzAq95uGTrDQ%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_20bf707e7edd67d50547,exclude,Development and Maintenance of Human and Animal Food Rapid Response Teams (U2F) Clinical Trials Not Allowed,https://www.grants.gov/search-results-detail/351257,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_2328debe3c0c0d97e3ab,retain,Implantación y puesta en funcionamiento de una plataforma informática destinada a la gestión de la carrera profesional y evaluación del desempeño,https://contrataciondelestado.es/wps/poc?idEvl=TIYe0wGqCmiS81gZFETWmA%3D%3D&uri=deeplink%3Adetalle_licitacion,Native Spanish software/platform/interface or mixed software category; closed status remains separate from technical relevance.
sig_23b43e6a4be728d4cd38,retain,"Establishment of a Dynamic Purchasing System for data protection services, management consultancy and regulatory compliance, legal services, engineering services, environmental consultancy and engineering, technical consultancy in construction and architecture, specialised technical assistance services, environmental advisory",https://ted.europa.eu/en/notice/-/detail/672205-2025,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_241ca1273ac22943b131,exclude,BCU-DAP2-64188 - ECLO Gwynedd Hospital,https://www.find-tender.service.gov.uk/Notice/088771-2026,"Desktop supply, licence resale or human clinical liaison using existing IT tools; no delivered application scope."
sig_2be2ba0a1c15db9af092,exclude,Rental of a digital multifunction device incl. full service and provision of consumables,https://oeffentlichevergabe.de/ui/de/notices/25825752,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_2eb5101bd0da08e98c1d,exclude,Framework agreement company health services,https://ted.europa.eu/en/notice/-/detail/641318-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_2ffe9133499ff7be5034,retain,Servicio de mantenimiento y operación de la solución de laboratorios Flexilabs para las aulas de informática de la Universidad Rey Juan Carlos,https://ted.europa.eu/en/notice/-/detail/607532-2026,Native-language IT support/interface or a data-space/AI delivery; generic computing words are not the Informatica brand.
sig_307484b7150b849f59c1,exclude,"High Voltage Equipment, Supply, Delivery, Installation & Commissioning",https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=NOV543669,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_3079ae4dab1a0885aaa1,retain,Consultancy services in business and industry development,https://ted.europa.eu/en/notice/-/detail/600201-2026,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_349a20a80745914701b1,exclude,"Mantenimiento integral de los elementos de transporte vertical y de intemperie, como ascensores, escaleras mecánicas, rampas y plataforma giratoria",https://ted.europa.eu/en/notice/-/detail/628953-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_35b619acb839c2890fe1,exclude,"Deratisation, disinfestation and disinfection service for the buildings of the Provincial Council of Córdoba",https://contrataciondelestado.es/wps/poc?idEvl=9%2F2B0jY7XLN4zIRvjBVCSw%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_39b24fa52c5483b81f17,retain,"Service consisting of work on the preparation, review and updating of the consolidated general inventory of the Diputació de Lleida and its autonomous bodies",https://ted.europa.eu/en/notice/-/detail/606313-2026,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_3a62cd22502b3fb1978b,exclude,REQUEST FOR INFORMATION / Procurement of procurement expert and legal services 2026,https://ted.europa.eu/en/notice/-/detail/121223-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_3c1d6ec13f505a01ef56,exclude,"ENM. Maintenance, incidental works and docking of the training sailing vessel AXS ""AROSA""",https://ted.europa.eu/en/notice/-/detail/600171-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_3ee1b2e5638e4e5fb9fa,exclude,VMD 4. Construction Section Lot 07 Roofing and Insulation,https://oeffentlichevergabe.de/ui/de/notices/25798904,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_401c9b3a1aeaaeac68f3,retain,DVLA Payments Out,https://www.contractsfinder.service.gov.uk/Notice/f35d8f4a-f33b-4cca-88d7-281504dd7aa0,Stated digital delivery/support scope retained conservatively.
sig_435168e15efdac043bb4,retain,Financial consultancy services 2027,https://ted.europa.eu/en/notice/-/detail/605833-2026,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_45f03c4cc93a9d5c1037,exclude,VMD 4. Construction Section Lot 07 Roofing and Insulation,https://oeffentlichevergabe.de/ui/de/notices/25808320,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_4c70e5bbc6d205b3570d,retain,Support Service for User Assistance of the Educational Community and the Social Services and Dependency Care System (SSAD) of Castilla-La Mancha and Supply of IT Equipment,https://ted.europa.eu/en/notice/-/detail/781164-2025,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_4d4fdfdd0d82851f7c33,exclude,Server Infrastructure Upgrade & Maintenance,https://www.find-tender.service.gov.uk/Notice/086338-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_4ec00cc756b91fcbaee3,exclude,"Service for the extraction, genotyping, DNA analysis, registration and storage of canine samples in San Fernando de Henares",https://ted.europa.eu/en/notice/-/detail/636888-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_4eee54bc54d1a5dbcc93,retain,Contracting of services and supplies for the development of the data space of the New Language Economy and the incubator of emerging projects in Artificial Intelligence (AI) and Language Technologies in Spanish and technical assistance service,https://ted.europa.eu/en/notice/-/detail/757908-2025,Native-language IT support/interface or a data-space/AI delivery; generic computing words are not the Informatica brand.
sig_500928eb240e422aaf60,retain,Data of Last Resort Data Collection,https://www.find-tender.service.gov.uk/Notice/084737-2026,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_51d340e84fd03c66d037,retain,"El objeto del presente contrato es la prestación de los servicios complementarios y asistencia técnica, material e informática al ejercicio de las funciones de gestión tributaria, recaudatoria, inspectora, catastral y procedimiento sancionador de tráfico, de tributos e ingresos de derecho público y,",https://contrataciondelestado.es/wps/poc?idEvl=nf70lMVa4E3yoM4us5k4vw%3D%3D&uri=deeplink%3Adetalle_licitacion,Native Spanish software/platform/interface or mixed software category; closed status remains separate from technical relevance.
sig_5406453d5e3ac9e2fa53,exclude,FSF Dynamic Purchasing System 2 For the Provision of Work Focused Activities,https://www.contractsfinder.service.gov.uk/Notice/fa247674-4cb9-430a-b65c-615f2953b6ab,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_5500d9a153abc5bfe50d,exclude,City of Cottbus Ex-Ante 189-2026 - New construction of a trampoline hall in the Cottbus sports centre - Supply and configuration of LoRaWAN gateways,https://oeffentlichevergabe.de/ui/de/notices/25778370,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_5b19f19b5249e730a5d2,exclude,New construction of Water Works South Lot 5,https://ted.europa.eu/en/notice/-/detail/612635-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_5c13fce30c7f2b31ca8d,exclude,Results report including qualitative survey with young consumers,https://oeffentlichevergabe.de/ui/de/notices/25794572,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_5cb8fc7d114635537610,exclude,Establishment of a dynamic purchasing system for agricultural consultancy in the Dominican Republic,https://ted.europa.eu/en/notice/-/detail/705194-2025,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_5da5dc101bace46a79d1,exclude,Estanterías Para Almacenes De Informática,https://contrataciondelestado.es/wps/poc?idEvl=kuMrhHdihCrLIx6q1oPaMg%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_5efdeeb56aca88210864,exclude,HCT - Bowling Lane Heat Pump Installation Design Services,https://www.contractsfinder.service.gov.uk/Notice/c1cb7c3b-60e7-4a9b-a937-349951cfc34d,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_5f078784877bcf854403,exclude,"Suministro e instalación del alumbrado ornamental de las ferias, de las fiestas patronales y de la navidad en el municipio de Palma del Río (Córdoba), para el año 2026",https://contrataciondelestado.es/wps/poc?idEvl=aeoRztDZw8BSYrkJkLlFdw%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_6077babaabbd183be92f,exclude,Pump Optimisation and Aeration Efficiency Analysis,https://www.find-tender.service.gov.uk/Notice/088891-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_61a3ad8d15a347041eef,exclude,PR Agency Services,https://www.find-tender.service.gov.uk/Notice/088465-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_64387acf7de21c4f4c82,exclude,Microsoft Enterprise and M365 licences,https://www.contractsfinder.service.gov.uk/Notice/a189d0a9-0ba7-4cdd-8832-21f448216ec9,"Desktop supply, licence resale or human clinical liaison using existing IT tools; no delivered application scope."
sig_69831fbd4b3bd772e7e0,exclude,VMD 4. Construction phase (BA) Lot 05 Painting stairwell and apartments,https://oeffentlichevergabe.de/ui/de/notices/25798900,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_69894b2dd3adc9dc6e0f,exclude,Property technical consultancy services - Dynamic Purchasing System (DPS),https://ted.europa.eu/en/notice/-/detail/173810-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_6b40aaf9d6703f049b5f,exclude,"Digital business trip within the framework of the Energy Export Initiative of the BMWE 2027, 2. Tranche",https://oeffentlichevergabe.de/ui/de/notices/5a890823-48dc-4e5d-9b1d-1646ed88e3bb,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_71239ba0e0faeb36de64,retain,"Documentation for a hearing - Framework agreement for digital and printed teaching aids for Ringebu, Sør-Fron and Nord-Fron municipalities.",https://ted.europa.eu/en/notice/-/detail/841024-2025,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_745f1100740cb48fbf91,exclude,Procurement of population survey service,https://ted.europa.eu/en/notice/-/detail/597148-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_76c9988946ca154b048a,exclude,BHCC DH Legal Services Online Resources Subscription,https://www.contractsfinder.service.gov.uk/Notice/2b4d16bb-0a47-49d8-bc74-8466cf3fe2f9,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_777706b7a9a18ca835e5,exclude,Hardware for hybrid video conferences,https://oeffentlichevergabe.de/ui/de/notices/b620a611-d587-4da1-90a3-11779974625e,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_77efa7f0ab429456804d,retain,"SOPORTE CAU IM. Disponer de un servicio integral que asegure el mantenimiento y la evolución de la estructura informática del IMUS, así como la asistencia a las incidencias generadas por las usuarias de este.",https://ted.europa.eu/en/notice/-/detail/624235-2026,Native-language IT support/interface or a data-space/AI delivery; generic computing words are not the Informatica brand.
sig_79e86fe2ce555b3f4a50,exclude,"Supply, subscription and access to foreign periodicals, both printed and electronic, as well as journal packages (some with OA publication included), databases and electronic books for the Library and Documentation Service of the University of Valencia",https://ted.europa.eu/en/notice/-/detail/611167-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_7dcf67ce9cfd30da7ddd,retain,Hardware Refresh and Associated Services,https://www.contractsfinder.service.gov.uk/Notice/235f7490-d915-427f-a254-ff743feb6446,Stated digital delivery/support scope retained conservatively.
sig_80f71e724c348e48ae34,exclude,Legal Advice,https://www.contractsfinder.service.gov.uk/Notice/4b3f0057-64f0-44ce-b435-d0c14f170a2c,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_84c7ed19062ff47384a8,exclude,VOIS - Books and media for the library - Invitation to market dialogue,https://ted.europa.eu/en/notice/-/detail/598718-2025,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_84cca5044d9f57645523,exclude,Consultancy services strategic property development - framework agreement,https://ted.europa.eu/en/notice/-/detail/636587-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_85a33b5b03fbd2cca82d,exclude,Servicio de mantenimiento integral de los edificios e instalaciones de la Universidad de Cantabria.,https://ted.europa.eu/en/notice/-/detail/605014-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_870ee4579241b029b0fe,exclude,Post-construction Monitoring of Birds & Bats,https://ted.europa.eu/en/notice/-/detail/638780-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_8a3209c4061a14baf1cf,exclude,Framework agreement for the hire of multi-function machines (second publication).,https://ted.europa.eu/en/notice/-/detail/653374-2025,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_8bd5afa11e3e7b118491,exclude,Procurement of a handheld analysis instrument with Raman and FTIR,https://ted.europa.eu/en/notice/-/detail/630559-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_8bf6d99dbfe12443ba81,exclude,"TEST - RM1043.9-2-Foreign, Commonwealth and Development Office",https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/78933,"The title, summary of work, timeline and application instructions explicitly identify a test placeholder."
sig_8d519b720e663435947e,retain,"Material necesario para la realización de técnicas analíticas automáticas de bioquímica clínica y hematología en el laboratorio clínico del Hospital Universitario Miguel Servet de Zaragoza, reactivos, material fungible, arrendamiento de los equipos necesarios, mantenimiento y su conexión informática al sistema de información del laboratorio.",https://ted.europa.eu/en/notice/-/detail/625893-2026,Native-language IT support/interface or a data-space/AI delivery; generic computing words are not the Informatica brand.
sig_8edb4ce4033c2a91d8a6,exclude,Procedura aperta ai sensi dell’art. 71 del D. Lgs. 36/2023 volta alla conclusione di un Accordo Quadro con un unico operatore economico ai sensi dell’art. 59 co. 3 del D. Lgs. 36/2023 per la fornitura di una piattaforma informatica per l’erogazione di servizi di welfare aziendale,https://ted.europa.eu/en/notice/-/detail/605774-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_90cb6ec8b8f79d876c58,exclude,Restore the Burn Nature Restoration Designs,https://api.publiccontractsscotland.gov.uk/v1/Notice?id=ocds-r6ebe6-0000842781,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_9267eab8b00aa727afd6,exclude,Framework agreement for Nuklær security consultancy services,https://ted.europa.eu/en/notice/-/detail/640460-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_92d5007efb87351b257a,exclude,CSP26751 - Delegates for International Energy Agency Technology Collaboration Programme,https://www.find-tender.service.gov.uk/Notice/088804-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_93f098852c2e216c7a14,exclude,Artificial Intelligence Safety Institute - Legal Services,https://www.contractsfinder.service.gov.uk/Notice/adf73bd5-9ef4-4809-92bc-44b1d5a48644,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_94e5f3cefe7a8b110b32,exclude,BCU-DAP2-64184 - ECLO Abergele Hospital,https://www.find-tender.service.gov.uk/Notice/088739-2026,"Desktop supply, licence resale or human clinical liaison using existing IT tools; no delivered application scope."
sig_968e5cb66c88f4b6bbe8,exclude,Procurement of a Universal Robots cobot (UR10e or UR12e) for automated GMA welding with no-code programming capability and integration of existing welding power sources,https://oeffentlichevergabe.de/ui/de/notices/25827760,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_9afd47135a17ed49f899,exclude,Purchase of Desktop Computer Systems - 997S0ET#ABU - AWARD,https://www.contractsfinder.service.gov.uk/Notice/7590b434-1fce-4672-9696-e710f7dd8297,"Desktop supply, licence resale or human clinical liaison using existing IT tools; no delivered application scope."
sig_9b0b20f71cf392ae701b,retain,"Suministro de Diverso Material necesario para la realización de técnicas analíticas automáticas de hemostasia para el Laboratorio del Hospital Universitario Miguel Servet de Zaragoza, incluyendo los equipos necesarios, su mantenimiento y conexión informática al sistema de información del Laboratorio",https://contrataciondelestado.es/wps/poc?idEvl=Rg9Dg8jlPjszjChw4z%2FXvw%3D%3D&uri=deeplink%3Adetalle_licitacion,Native-language IT support/interface or a data-space/AI delivery; generic computing words are not the Informatica brand.
sig_9c8442144417e6e8e20c,exclude,VMD 4. Construction Section Lot 01 Scaffolding,https://oeffentlichevergabe.de/ui/de/notices/25803148,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_9f4b9da205471ce4e2bc,exclude,"Procurement of consultancy services for nuclear security, including handling used fuel, radiation protection and risk assessment.",https://ted.europa.eu/en/notice/-/detail/590970-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_a44c32198033a861a13e,exclude,Coaching von Bedarfsgemeinsch.,https://oeffentlichevergabe.de/ui/de/notices/026908e8-0d30-4ae9-ad52-faac212f1916,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_a56d62fb8de0a66a8594,exclude,Asset Valuations & Associated Services,https://www.find-tender.service.gov.uk/Notice/084998-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_a627a883999a05b12103,retain,ID 5828449 - TEO - Equality Commission - Provision of IT Support to Equality House ALBs and NIHRC,https://www.find-tender.service.gov.uk/Notice/057996-2025,Stated digital delivery/support scope retained conservatively.
sig_aa11c51ff6bbe9e56329,exclude,Management of research panel and implementation of survey studies,https://ted.europa.eu/en/notice/-/detail/615576-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_aadc0d100048a51fcf8d,exclude,Rapid Response Team (RRT) Cooperative Agreement,https://www.grants.gov/search-results-detail/342810,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_aae0233f3e4a0d86fb0a,exclude,"Access service for copyright years 2026, 2027, 2028 of the following eBook Subject Collections from the publisher Springer Nature: Computer Science, Earth and Environmental Science, Engineering, Intelligent Technologies and Robotics, Mathematics and Statistics, Physics and Astronomy, Business & Management, Economics and Finance, Artificial Intelligence.",https://ted.europa.eu/en/notice/-/detail/699044-2025,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_ab35fca4407166902b0c,exclude,Public Affairs (PA) and Public Relations (PR) Consultancy Service Framework,https://www.find-tender.service.gov.uk/Notice/055812-2025,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_acba5226dcbe03a1e737,exclude,Procurement of the expansion of the server infrastructure of the distributed environment of the Government of Navarre.,https://ted.europa.eu/en/notice/-/detail/644014-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_ada8227a105b1e453244,exclude,"Comprehensive and recurring legal advisory service for Sociedad de Proyectos para la Transformación Digital, S.A., including Legal Counsel",https://contrataciondelestado.es/wps/poc?idEvl=dMuIGtHdJl2cCF8sV%2BqtYA%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_ae037dc3b88e1d016599,retain,Sistemas de gestión de turnos de atención ciudadana,https://contrataciondelestado.es/wps/poc?idEvl=XtwEepp67SuAAM7L03kM8A%3D%3D&uri=deeplink%3Adetalle_licitacion,Native Spanish software/platform/interface or mixed software category; closed status remains separate from technical relevance.
sig_ae79420d8677bce6a845,exclude,Supply of IT equipment,https://oeffentlichevergabe.de/ui/de/notices/25801282,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_afdbecf674c117d74262,exclude,Wastewater Testing,https://www.find-tender.service.gov.uk/Notice/087294-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_b087f02efeb5d4a6b5fc,retain,Sistema Dinámico de Adquisición para la contratación del suministro de equipamiento informático diverso y los servicios asociados que le acompañan para el Servicio de Salud del Principado de Asturias,https://ted.europa.eu/en/notice/-/detail/15585-2026,Native Spanish software/platform/interface or mixed software category; closed status remains separate from technical relevance.
sig_b0b415f74844285a2c44,exclude,Construction Consultancy Framework; 2027 - 2031,https://www.find-tender.service.gov.uk/Notice/085437-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_b0cfd40c2f613450f40f,exclude,Environmental Surveys,https://www.find-tender.service.gov.uk/Notice/086761-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_b0f575cd37454c9275f8,exclude,Apoyo a la formación de los alumnos del XLIX Curso para la obtención del DIPLOMA DE INFORMÁTICA MILITAR (DIM).,https://contrataciondelestado.es/wps/poc?idEvl=dyPN%2Fn27RP3mnwcj%2BxbdTg%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_b181fba2bdd78894f01d,exclude,"Energy business trip programme within the framework of the Federal Ministry for Economic Affairs and Energy's (BMWE) 2027 Energy Export Initiative, 2 tranche",https://oeffentlichevergabe.de/ui/de/notices/07663b5e-abfe-49a3-a563-ee4573f04ec7,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_b19cd36348284dcc22c6,exclude,New construction of the administration building of the Dithmarschen district administration as a Public-Private Partnership (PPP),https://ted.europa.eu/en/notice/-/detail/613810-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_b2d06e0c14029626a5fb,exclude,Employee Assistance Program (EAP),https://oeffentlichevergabe.de/ui/de/notices/25823266,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
