id,source,title,source_url,published_before,before,after,previous_lifecycle,lifecycle,previous_capabilities,capabilities,reasons
sig_2366bcd26f0a92db294b,ted,Procurement of Imaging Solution and related services,https://ted.europa.eu/en/notice/-/detail/670495-2025,True,candidate,candidate,OPEN,OPEN,ai,portals|ai,
sig_24ed493a54bc6fa23cea,contracts_finder,Directional Drilling & Micro Tunnel Boring,https://www.contractsfinder.service.gov.uk/Notice/4c9c3d1e-c51a-4741-b19a-63267a661883,False,candidate,below_threshold,EXPIRED,EXPIRED,relationships,,
sig_260ac3e350f75b35d22c,contracts_finder,2026-049 Telephony Solutions for D&S,https://www.contractsfinder.service.gov.uk/Notice/d0ca73f8-dfc5-4eb7-b5f3-2529bba832e3,False,candidate,candidate,AWARDED,AWARDED,contact_centre,contact_centre|portals,
sig_2b62ef0dd2d936419258,digital_outcomes,HOS0069 - Digital Delivery Partner (Work Package A – Discovery & Design),https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/74078,True,candidate,candidate,OPEN,UNKNOWN,crm,crm,
sig_36e745fadaf8fe211607,contracts_finder,Ambient Voice Technology,https://www.contractsfinder.service.gov.uk/Notice/fcfa670e-fc96-4d9f-9ec6-bbb7cf3270c3,True,candidate,candidate,EARLY_ENGAGEMENT,EARLY_ENGAGEMENT,,ai,
sig_400029f933bdf730467e,scotland,Clinical Patient Management System for Community Urgent and Out of Hours Care,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=JUN557009,True,candidate,candidate,FUTURE,FUTURE,,service,
sig_4038729e4f0b0696139d,contracts_finder,Passivhaus Certifier for the Construction of Causeway Green Primary School - AWARD,https://www.contractsfinder.service.gov.uk/Notice/a1d7a861-c77d-474b-8cea-0f25ca2a510d,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_446b3753c9bed1b03f75,spain,Service for the implementation and maintenance of a municipal incident management system in SaaS mode,https://contrataciondelestado.es/wps/poc?idEvl=%2BxGS1tS97QYl5NjlNci%2BtA%3D%3D&uri=deeplink%3Adetalle_licitacion,True,candidate,candidate,OPEN,OPEN,,service,
sig_4529a298cad27f833b1e,scotland,PaCC Digital Delivery Services,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=APR553962,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_46624dae0be6afc0e800,contracts_finder,Interim Project Director ECMWF DSIT Client Role,https://www.contractsfinder.service.gov.uk/Notice/21484660-85ee-40b3-8756-7e155606672f,False,candidate,excluded,AWARDED,AWARDED,relationships,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_46635020b7d5ac059a2d,digital_outcomes,"RM1043.9-1-DEPARTMENT FOR DIGITAL, CULTURE, MEDIA & SPORT",https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/75087,False,below_threshold,below_threshold,OPEN,UNKNOWN,,,
sig_473c8d7f9bca47a45644,contracts_finder,Telephony Solutions,https://www.contractsfinder.service.gov.uk/Notice/edd3a7bf-6478-455c-bacc-af68100803fa,False,candidate,candidate,AWARDED,AWARDED,contact_centre,contact_centre|portals,
sig_49699bf79cfa029bec3b,contracts_finder,Electronic Document Record Management System,https://www.contractsfinder.service.gov.uk/Notice/Attachment/6dc25900-26cc-416f-9da8-c4a6241bb180,True,candidate,candidate,FUTURE,FUTURE,,workflow,
sig_4ff9ad3c264a784749ae,contracts_finder,HCT - Accurx A1 Ambient Voice Technology,https://www.contractsfinder.service.gov.uk/Notice/9d922b11-920c-495c-a8d8-0592fc39ba65,False,candidate,candidate,AWARDED,AWARDED,,ai,
sig_520c3a78e4d7855a5f4a,ted,Incident management system (EMS) East Hesse and West Hesse,https://ted.europa.eu/en/notice/-/detail/630265-2026,True,candidate,candidate,OPEN,OPEN,,service,
sig_52e4fb2cb1a138caec2c,digital_outcomes,Prj_17622 Technology Operations Digital and Technology Delivery Services,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/75005,False,below_threshold,candidate,OPEN,UNKNOWN,,,
sig_5485d4092ed80bdeff22,find_tender,PME Erasmus,https://www.find-tender.service.gov.uk/Notice/085085-2026,True,candidate,excluded,EARLY_ENGAGEMENT,EARLY_ENGAGEMENT,relationships,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_556ca8297a3d09b5e8ec,find_tender,Simple Tenants Contents Insurance,https://www.find-tender.service.gov.uk/Notice/057049-2025,False,candidate,below_threshold,AWARDED,AWARDED,relationships,,
sig_5838cac639cd2297dfd3,germany,Commissioning of external safety-related support/occupational safety specialist - SiFa,https://oeffentlichevergabe.de/ui/de/notices/25792312,True,candidate,excluded,OPEN,OPEN,,,"Occupational health or workplace safety services without a separately stated business-application, Salesforce or AI delivery scope."
sig_5ac1c579bba0df2117a2,scotland,Provision of Tax Advice and Tax-Related Services,https://api.publiccontractsscotland.gov.uk/v1/Notice?id=ocds-r6ebe6-0000837108,False,candidate,below_threshold,EXPIRED,EXPIRED,field_service,,
sig_5ace2471b614514c20c7,germany,Consultancy/further development of the administration portal,https://oeffentlichevergabe.de/ui/de/notices/cf3a787e-c79a-4761-9970-e51e30806283,True,candidate,candidate,OPEN,OPEN,,portals,
sig_612a31196a67f6f10354,digital_outcomes,RM1043.9-1-HOME OFFICE - Metis Architecture Services,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/80109,False,candidate,candidate,EXPIRED,OPEN,integration|field_service|transformation|ai|managed|external_integration,integration|field_service|transformation|ai|managed|external_integration,
sig_6612c433e090cafbd969,ted,"Provision of digital service development services and enhancement of digital infrastructures of the General Hospital of Thessaloniki ""Hippokration""",https://ted.europa.eu/en/notice/-/detail/645842-2026,True,candidate,candidate,OPEN,OPEN,,transformation,
sig_68ec4eb1b724e1da8efe,contracts_finder,Further Competition for Roway Lane 2026 - AWARD,https://www.contractsfinder.service.gov.uk/Notice/4044fed6-1aee-4999-8ffc-a9cc76f64136,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_6b18a5cf36fde9e5f948,find_tender,Rough Sleeping Rapid Assessment Hub & Outreach / InReach Service,https://www.find-tender.service.gov.uk/Notice/086297-2026,False,candidate,below_threshold,AWARDED,AWARDED,service,,
sig_6c981bbe68982b5ebafc,scotland,Mechanical & Public Health Framework (MPHF) (2026-30),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=APR553860,True,candidate,below_threshold,UNKNOWN,UNKNOWN,integration,,
sig_6d4aa3f709819a3c1e27,digital_outcomes,prj_14708 HMCTS Software Engineering Centre of Excellence,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/74607,True,candidate,candidate,OPEN,UNKNOWN,integration,integration,
sig_6ef9f3a40aede099ace1,contracts_finder,FURTHER COMPETITION conducted under ESPO Framework Agreement 220_24 De-icing Salt & Associated Products/Services - AWARD,https://www.contractsfinder.service.gov.uk/Notice/b3934ac0-cb1b-4681-a481-13424618daeb,False,candidate,below_threshold,AWARDED,AWARDED,portals,,
sig_7558e06ebcb803a45760,contracts_finder,GB-Nottingham: AP25026 - County Farms Management,https://www.contractsfinder.service.gov.uk/Notice/4d1527db-d5d7-4b78-ae3d-299547891545,False,candidate,below_threshold,AWARDED,AWARDED,relationships,,
sig_75d5332ed322bd3f2c57,germany,"Continuation and further development of partner management as well as the communication campaign of the ""Gründerland Bayern"" initiative for the start-up location Bavaria",https://oeffentlichevergabe.de/ui/de/notices/e3244f64-227a-40b3-a0f7-570515443ec3,True,candidate,candidate,OPEN,OPEN,relationships,,
sig_77d6e83bcc5a06939cce,find_tender,PA23 UK3 - PPN for Nairobi Railway City Technical Assistance Project,https://www.find-tender.service.gov.uk/Notice/056944-2025,False,candidate,below_threshold,EXPIRED,EXPIRED,relationships,,
sig_7c256aeb0ebf3b48659c,contracts_finder,2025-049 Case Management System,https://www.contractsfinder.service.gov.uk/Notice/032a086b-326b-49cf-9c01-0a66df7bf724,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_80307656b4ae4bf0f8b0,find_tender,Richmond Electric Outdoor Saunas,https://www.find-tender.service.gov.uk/Notice/088420-2026,True,candidate,excluded,FUTURE,FUTURE,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_818f3c31f9b6d2d0db02,find_tender,Shopmobility,https://www.find-tender.service.gov.uk/Notice/087691-2026,True,candidate,below_threshold,OPEN,OPEN,portals,,
sig_81e3208068ad394f173b,scotland,ICT Managed Security Services,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=JUL559704,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_8218dad4a44ee63f62fa,contracts_finder,Business Engagement Consultancy for Faculty of Health and Life Sciences- Expressions of Interest,https://www.contractsfinder.service.gov.uk/Notice/a291b5dc-6aae-4229-8ed7-47230917f785,True,candidate,excluded,FUTURE,FUTURE,ai,ai,"Business promotion or partnership development consultancy without a separately stated business-application, Salesforce or AI delivery scope."
sig_829121561973e568fe21,govuk,MoJ: nDelius Contact Log Semantic Search,https://www.gov.uk/algorithmic-transparency-records/moj-ndelius-contact-log-semantic-search,False,excluded,excluded,FUTURE,FUTURE,knowledge,service|knowledge,General publication without a current supplier opportunity or explicit future buying intent.
sig_8381d802852ed6344850,contracts_finder,"Further Competition for Brunswick Park, Brunswick Park Road - AWARD",https://www.contractsfinder.service.gov.uk/Notice/0442a605-1802-467b-b7e4-6ec06e21a09e,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_84287d20e16d82006a75,ted,Safety engineering and occupational health services,https://ted.europa.eu/en/notice/-/detail/616500-2026,True,candidate,excluded,OPEN,OPEN,,,"Occupational health or workplace safety services without a separately stated business-application, Salesforce or AI delivery scope."
sig_8bc0e0980aa8ee6ca948,find_tender,PAN3612 - Procurement of Housing Training and Learning Framework,https://www.find-tender.service.gov.uk/Notice/086867-2026,True,candidate,below_threshold,OPEN,OPEN,service,,
sig_8cb6140c82f71b886a08,digital_outcomes,C10333 - HHT Exit and Identity Modernisation,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/75633,False,below_threshold,below_threshold,OPEN,EXPIRED,,,
sig_982396e62af40d9673bb,find_tender,Cashless Parking,https://www.find-tender.service.gov.uk/Notice/088099-2026,True,candidate,candidate,FUTURE,FUTURE,portals,,
sig_9e0745dba5e70e8dfc1c,scotland,Connect Me Digital Delivery Services,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=MAR552215,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_9e73113deea79852b460,contracts_finder,AACC AI ambient scribing and reporting tool for healthcare employees,https://www.contractsfinder.service.gov.uk/Notice/eec2f2b8-c09a-4180-b610-1e447ab09c79,False,candidate,candidate,AWARDED,AWARDED,,ai,
sig_9f2def6828837712d47e,contracts_finder,"FSCS498 Public Relations, Public Affair and Stakeholder Relations",https://www.contractsfinder.service.gov.uk/Notice/290bcb5a-0581-48a3-a050-986e592c9a2a,False,candidate,candidate,AWARDED,AWARDED,relationships,,
sig_a14d99c21bf767af4b80,contracts_finder,Accurx Scribe (Communications and Ambient Voice Technology Platform) - ESTH,https://www.contractsfinder.service.gov.uk/Notice/4fc8b69f-316a-4064-8c71-6b79dc7606e8,False,candidate,candidate,AWARDED,AWARDED,,ai,
sig_a56629fc38c24ab4e854,find_tender,Occupational Health Services - Associated British Ports,https://www.find-tender.service.gov.uk/Notice/085684-2026,False,below_threshold,excluded,AWARDED,AWARDED,,,"Occupational health or workplace safety services without a separately stated business-application, Salesforce or AI delivery scope."
sig_a631beca8d0f97009e3c,find_tender,QHM-2024-2672 Primary Eyecare Services Limited,https://www.find-tender.service.gov.uk/Notice/087177-2026,False,candidate,excluded,AWARDED,AWARDED,service,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_b5a9044288adcfdb5a8e,digital_outcomes,RM1043.9-1-Clackmannanshire Council,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/74112,True,candidate,candidate,OPEN,UNKNOWN,,service,
sig_b75b80ee13753b421d7d,find_tender,NWL APG Ambient Voice Technology,https://www.find-tender.service.gov.uk/Notice/088063-2026,True,candidate,candidate,EARLY_ENGAGEMENT,EARLY_ENGAGEMENT,,ai,
sig_b8d2566e687029caea5a,digital_outcomes,RM1043.9-2-Ministry Of Justice - Digital Outcomes,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/74461,True,candidate,candidate,OPEN,EXPIRED,portals,portals|transformation,
sig_bb0518cfc3dc3f4f3ef9,scotland,Energy-Efficient Audio-Visual Equipment and Solutions,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=JUL560733,True,candidate,excluded,FUTURE,FUTURE,,,"Physical computing, network or measurement equipment without a separately stated business-application, Salesforce or AI delivery scope."
sig_bf627c2320eb81053237,contracts_finder,"Access for Structural Repair, Dudley Port Bridge - AWARD",https://www.contractsfinder.service.gov.uk/Notice/cb1e54ce-f8b4-463b-b399-38af7a9bc20e,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_c33fe617e6d71b8423dd,find_tender,SIC and SOC Coding of the Graduate Outcomes survey,https://www.find-tender.service.gov.uk/Notice/085347-2026,True,candidate,excluded,OPEN,OPEN,crm|contact_centre,crm|contact_centre,"Coding or classification of survey responses as a service without a separately stated business-application, Salesforce or AI delivery scope."
sig_c456c4460f688922e038,contracts_finder,Adult Screening and Personalisation Digital Delivery Services,https://www.contractsfinder.service.gov.uk/Notice/a7e8665f-95fe-4e36-8c1b-7414b8792aac,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_c65328ac257151c08a13,contracts_finder,Product Team Bench Model Services,https://www.contractsfinder.service.gov.uk/Notice/d21c2c86-8431-48d0-b3d1-ac51ae02dab1,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_c76005130777954dddf6,digital_outcomes,prj_16059 Managed Service Procurement for the Resettlement Passport (RP),https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/75525,True,candidate,candidate,OPEN,UNKNOWN,,transformation,
sig_c9c5a0eddc1102e7ed88,find_tender,Case management system for Income Recovery Team,https://www.find-tender.service.gov.uk/Notice/058138-2025,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_cb8fc32e199e6efb6e26,scotland,Provision of Legal Services,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=SEP564456,False,candidate,below_threshold,AWARDED,AWARDED,service,,
sig_cd0ac51d50703e5831b1,contracts_finder,ITT for the New Changing Pavilion at Hydes Road Wednesbury - AWARD,https://www.contractsfinder.service.gov.uk/Notice/9274b1c1-e880-45e3-9482-78e19c750e85,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_cd24866af8aff1b503e6,find_tender,Managed lettings services for The Sir John Brunner Foundation,https://www.find-tender.service.gov.uk/Notice/085027-2026,True,candidate,below_threshold,EARLY_ENGAGEMENT,EARLY_ENGAGEMENT,service,,
sig_d0320e0c280ec2fc971c,contracts_finder,PHE_ICT_Infectious Disease Case and Incident Management,https://www.contractsfinder.service.gov.uk/Notice/2fae8803-59f0-4d2b-b99a-a3fb8ebe4062,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_d269cdfde9e1dea3062c,find_tender,Joy Case Management System,https://www.find-tender.service.gov.uk/Notice/085540-2026,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_de3eb4bc9bb480224271,contracts_finder,Youth Justice Platform,https://www.contractsfinder.service.gov.uk/Notice/4104a835-171d-4f65-881f-3b9676e06d15,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_e312774abdb5260ac23e,contracts_finder,Sign into Legal Aid Services and Digital Delivery Services,https://www.contractsfinder.service.gov.uk/Notice/4aff8d74-4c1a-4347-80e4-b9c5e07f29e8,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_e3aeb8dc58b97b962eac,contracts_finder,South Cambridgeshire District Council - Construction Project Stakeholder Manager,https://www.contractsfinder.service.gov.uk/Notice/817c4a30-34a8-4e00-b2dd-fdb5b0221da0,False,candidate,excluded,EXPIRED,EXPIRED,relationships,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_e75ba743401c8a7c8c17,digital_outcomes,RM1043.9-1-Peabody Website,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/73661,True,candidate,candidate,OPEN,UNKNOWN,integration,integration,
sig_e8145ecd6415d86aeab5,digital_outcomes,prj_17750 HMCTS Digital Engineering Communities of Practice,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/76294,True,candidate,candidate,OPEN,UNKNOWN,,,
sig_eaf99bc0ec6df4211bd8,contracts_finder,CWC25040 - Cashless Parking,https://www.contractsfinder.service.gov.uk/Notice/0bb9268c-416e-4433-8622-ab6e3a28a598,False,below_threshold,candidate,AWARDED,AWARDED,,,
sig_ebd07309f2bc1f7460d0,contracts_finder,Printing of the Sandwell Herald council newspaper - AWARD,https://www.contractsfinder.service.gov.uk/Notice/69c4afc1-2f51-48de-a8a1-918d6dd78a0d,False,candidate,below_threshold,AWARDED,AWARDED,portals,,
sig_ee90be3759d735893f3d,digital_outcomes,HIS/2026/1054 - Healthcare Improvement Scotland Digital Service Design and Website Development,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/79738,True,candidate,candidate,OPEN,OPEN,,transformation,
sig_f3757dfdb5d0e4f9b993,contracts_finder,Further Competition for Endpoint security & Control Software - Under Framework Y23065 Software Products and Associated Services - AWARD,https://www.contractsfinder.service.gov.uk/Notice/ae844708-d45c-48c9-b775-f826b8373ed4,False,candidate,candidate,AWARDED,AWARDED,portals,,
sig_f927269b067eb3cdc652,digital_outcomes,prj_16447 - Community Payback - next stage of modernisation,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/74629,True,candidate,candidate,OPEN,UNKNOWN,integration,integration,
sig_f9e9ec8dc2d9068d28d6,contracts_finder,Consultancy Services To Develop An Estates Strategy,https://www.contractsfinder.service.gov.uk/Notice/a778682d-0a7c-4fce-83fe-ed1a3c9ad2e7,False,candidate,excluded,EXPIRED,EXPIRED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_4cc14d5c02f09ff8186d,contracts_finder,GS123 - Sandwell Valley Adventure Play Area refurb Project - AWARD,https://www.contractsfinder.service.gov.uk/Notice/41c40da0-c980-4188-a4da-f57b852ed18b,False,candidate,below_threshold,AWARDED,AWARDED,portals,,
sig_5a187e49ec2cce2a08a1,ted,Framework agreement audio visual equipment and accompanying services.,https://ted.europa.eu/en/notice/-/detail/687704-2025,False,candidate,excluded,EXPIRED,EXPIRED,,,"Physical computing, network or measurement equipment without a separately stated business-application, Salesforce or AI delivery scope."
sig_6da09ded483959f523da,ted,Strategisk partner - Management- och ekonomitjänster,https://ted.europa.eu/en/notice/-/detail/761792-2025,False,candidate,candidate,EXPIRED,EXPIRED,relationships,,
sig_76bf3f6f53e3fae38324,scotland,Digital Delivery Services,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=JAN547794,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_9f025867fc220b50abee,scotland,Digital Delivery Services,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=JAN547736,False,candidate,candidate,AWARDED,AWARDED,,transformation,
sig_bfcaa90f4962d9a2048b,ted,Technical solution for Ungdata,https://ted.europa.eu/en/notice/-/detail/53358-2026,False,candidate,candidate,AWARDED,AWARDED,,portals,
sig_e831601403a87a59c6ce,contracts_finder,Ambient Voice Technology Tool,https://www.contractsfinder.service.gov.uk/Notice/0406b28e-1d7f-449b-9344-9ec60f920508,False,candidate,candidate,AWARDED,AWARDED,,ai,
sig_215c8b7e329edbf78009,contracts_finder,The Provision of The UKHSA Case & Incident Management System (CIMS) - delivery,https://www.contractsfinder.service.gov.uk/Notice/0f9f510c-563e-45ea-b078-ed2744d5affc,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_5f1d1aad8e3ffdbf7049,contracts_finder,GS162 - Lightwoods Park Play Area Project - AWARD,https://www.contractsfinder.service.gov.uk/Notice/d57bca4a-e0ce-4895-9b97-b54f67091c35,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_f48de7549cec16ae1a46,ted,Strategisk partner - Management- och ekonomitjänster,https://ted.europa.eu/en/notice/-/detail/81016-2026,False,candidate,candidate,AWARDED,AWARDED,relationships,,
sig_342234a390c6c04188e2,scotland,PROVISION OF SERVICE MANAGER – DIGITAL PORTFOLIO,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=MAR551979,False,candidate,candidate,AWARDED,AWARDED,relationships,transformation,
sig_055f652f6a2c46137c80,digital_outcomes,Prj_16428 IT Service Management Digital and Technology Delivery Services,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/80002,False,below_threshold,candidate,OPEN,EXPIRED,,,
sig_30340d7ebc8cbf778525,scotland,C002201 Provision of a radiology online learning platform for all Radiology Doctors in Training in Scotland.,https://api.publiccontractsscotland.gov.uk/v1/Notice?id=ocds-r6ebe6-0000840848,False,below_threshold,candidate,OPEN,OPEN,,,
sig_551bbd1eb2eec1043851,govuk,UK supports launch of Digital Case Management System in Pakistan,https://www.gov.uk/government/news/uk-supports-launch-of-digital-case-management-system-in-pakistan,False,excluded,excluded,FUTURE,FUTURE,,service,General publication without a current supplier opportunity or explicit future buying intent.
sig_96305fe2f9295bb82f2d,contracts_finder,Corporate Business Travel,https://www.contractsfinder.service.gov.uk/Notice/fcc720c8-9f73-4cdf-9929-3f258ffafd8d,False,below_threshold,candidate,AWARDED,AWARDED,,portals,
sig_b54763ae594c7673f8c2,digital_outcomes,"Digital Multi-Capability Services for Children & Families, Regions and wider DfE Services",https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/80252,False,below_threshold,candidate,OPEN,OPEN,,transformation,
sig_c5b3fd4679ce8a0c4464,scotland,Supply & Delivery of audio visual equipment,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG563166,False,below_threshold,excluded,AWARDED,AWARDED,,,"Physical computing, network or measurement equipment without a separately stated business-application, Salesforce or AI delivery scope."
sig_f374f85de823ab417949,digital_outcomes,on behalf of FCDO: Digital and Data: CPG/14351/2026 Solutions Factory Delivery Partner,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/79545,False,below_threshold,candidate,OPEN,EXPIRED,,workflow,
sig_cd34a6fa076cc8f4807d,govuk,Ambient voice technology-enabled products,https://www.gov.uk/government/publications/ambient-voice-technology-enabled-products,False,excluded,excluded,FUTURE,FUTURE,,ai,General publication without a current supplier opportunity or explicit future buying intent.
sig_d0af87ee38eb2abada93,contracts_finder,"Supply, Installation and Support of High-Fidelity Clinical Simulation Manikins and Training Services",https://www.contractsfinder.service.gov.uk/Notice/de4b14ef-2e79-49a8-9783-755a66d26e22,False,below_threshold,excluded,EXPIRED,EXPIRED,,,"Physical computing, network or measurement equipment without a separately stated business-application, Salesforce or AI delivery scope."
sig_d6a6a23763ea26c315dd,find_tender,Cashless Parking Machines,https://www.find-tender.service.gov.uk/Notice/057657-2025,False,below_threshold,excluded,AWARDED,AWARDED,,,"Physical parking payment equipment without a separately stated business-application, Salesforce or AI delivery scope."
sig_616a2ae1b1fe5e2a5a51,contracts_finder,North Northamptonshire Council Penalty Charge Notice (PCN) Software for Traffic Enforcement,https://www.contractsfinder.service.gov.uk/Notice/595f36b2-d964-49da-812b-48a69f5cd015,False,below_threshold,candidate,AWARDED,AWARDED,,,
